	Perf	Random	Random	Random	Random
CHIR-99021 Group 38	38	28	11	1	14
CI-1040 Group 24	24	43	23	4	1
Cisplatin Group 25	25	49	31	34	11
CMK Group 39	39	15	22	9	44
CP466722 Group 40	40	32	20	14	29
CP724714 Group 8	8	20	18	18	27
Crizotinib Group 37	37	6	29	42	31
CUDC-101 Group 13	13	31	22	47	5
CX-5461 Group 42	42	55	30	7	8
Cyclopamine Group 43	43	34	13	35	2
Cytarabine Group 25	25	51	34	10	19
Dabrafenib Group 18	18	43	12	49	4
Dasatinib Group 44	44	43	50	25	9
DMOG Group 11	11	30	51	27	22
Docetaxel Group 12	12	7	50	53	52
Doxorubicin Group 25	25	37	54	29	12
EHT 1864 Group 36	36	39	30	3	18
EKB-569 Group 8	8	40	45	37	35
Elesclomol Group 2	2	4	31	34	29
Embelin Group 41	41	16	52	15	30
Epothilone B Group 12	12	50	52	46	49
Erlotinib Group 8	8	28	31	50	25
Etoposide Group 34	34	27	35	55	3
EX-527 Group 45	45	51	34	29	9
FH535 Group 55	55	21	42	9	15
FK866 Group 48	48	6	46	23	19
FMK Group 39	39	33	35	42	48
Foretinib Group 37	37	10	29	4	54
FR-180204 Group 24	24	7	4	39	54
FTI-277 Group 47	47	24	41	4	51
GDC0449 Group 43	43	51	44	38	34
GDC0941 Group 15	15	51	36	39	13
Gefitinib Group 8	8	1	26	15	8
Gemcitabine Group 1	1	11	51	28	41
Genentech Cpd 10 Group 33	33	20	5	37	12
GNF-2 Group 44	44	42	10	3	5
GSK1070916 Group 33	33	19	20	40	14
GSK1904529A Group 28	28	42	23	26	34
GSK2126458 Group 15	15	44	6	42	34
GSK269962A Group 49	49	20	23	6	50
GSK429286A Group 49	49	2	11	32	55
GSK-650394 Group 52	52	7	41	25	10
GSK690693 Group 5	5	52	23	31	54
GW 441756 Group 55	55	23	38	28	24
GW-2580 Group 55	55	30	15	49	32
GW843682X Group 22	22	45	4	4	30
HG-5-113-01  Group 44	44	15	30	23	51
HG-5-88-01 Group 8	8	24	52	43	16
HG-6-64-1 Group 18	18	18	31	46	29
I-BET-762 Group 50	50	37	11	20	2
Imatinib Group 44	44	50	29	37	32
IOX2 Group 55	55	18	8	54	17
IPA-3 Group 55	55	36	32	5	53
Ispinesib Mesylate Group 55	55	3	40	45	35
JNJ-26854165 Group 53	53	33	9	39	28
JNK Inhibitor VIII Group 14	14	12	14	25	15
JNK-9L Group 14	14	38	43	47	8
JQ1 Group 50	50	52	11	41	46
JQ12 Group 13	13	42	48	8	11
JW-7-24-1 Group 55	55	5	19	15	47
JW-7-52-1 Group 15	15	33	37	42	1
KIN001-055 Group 7	7	47	5	6	37
KIN001-102 Group 5	5	37	8	9	49
KIN001-135 Group 1	1	55	4	38	29
KIN001-236 Group 55	55	50	55	30	27
KIN001-244 Group 32	32	31	1	26	4
KIN001-260 Group 1	1	8	25	11	6
KIN001-266 Group 1	1	53	54	37	27
KIN001-270 Group 16	16	22	36	5	38
KU-55933 Group 40	40	34	4	38	36
Lapatinib Group 8	8	38	10	11	44
LAQ824 Group 13	13	29	36	47	34
Lenalidomide Group 55	55	19	18	27	16
LFM-A13 Group 55	55	40	6	52	42
Linifanib Group 46	46	15	1	27	43
Lisitinib Group 28	28	27	18	47	9
LY317615 Group 55	55	52	15	10	20
Masitinib Group 44	44	49	33	19	21
Methotrexate Group 3	3	3	6	20	7
MG-132 Group 30	30	2	50	22	51
Midostaurin Group 44	44	46	13	25	3
Mitomycin C Group 25	25	42	28	9	11
MK-2206 Group 5	5	44	3	9	53
MLN4924 Group 55	55	32	8	35	32
MP470 Group 44	44	21	20	36	25
MPS-1-IN-1 Group 55	55	32	37	41	28
MS-275 Group 13	13	3	16	26	27
Navitoclax Group 51	51	54	41	49	52
NG-25 Group 1	1	32	54	6	29
Nilotinib Group 44	44	32	9	30	24
NPK76-II-72-1 Group 22	22	22	20	48	15
NSC-207895 Group 53	53	3	21	30	7
NSC-87877 Group 55	55	25	1	21	32
NU-7441 Group 15	15	22	15	17	47
Nutlin-3a (-) Group 53	53	19	29	41	18
Obatoclax Mesylate Group 51	51	41	12	43	1
Olaparib Group 9	9	37	34	7	33
OSI-027 Group 15	15	9	55	21	35
OSI-930 Group 44	44	25	47	33	33
OSU-03012 Group 32	32	52	14	16	49
PAC-1 Group 55	55	5	2	31	39
Paclitaxel Group 12	12	19	24	14	31
Parthenolide Group 1	1	1	26	29	49
Pazopanib Group 8	8	44	4	17	26
PD-0325901 Group 24	24	40	35	34	3
PD-0332991 Group 16	16	21	53	40	34
PD-173074 Group 55	55	47	10	39	23
PF-4708671 Group 55	55	28	36	6	35
PF-562271 Group 55	55	19	23	20	18
PFI-1 Group 50	50	15	40	38	38
PHA-665752 Group 37	37	54	46	8	49
PHA-793887 Group 7	7	43	51	18	55
Phenformin Group 15	15	13	3	45	8
PI-103 Group 15	15	30	53	21	28
PIK-93 Group 15	15	22	37	31	29
piperlongumine Group 55	55	42	54	52	8
PLX4720 Group 18	18	15	8	49	39
Pyrimethamine Group 3	3	46	8	23	37
QL-VIII-58 Group 15	15	33	37	7	44
QL-X-138 Group 15	15	16	31	29	6
QL-XI-92 Group 55	55	16	40	27	29
QL-XII-47 Group 54	54	11	24	17	34
QL-XII-61 Group 54	54	18	11	42	25
QS11 Group 55	55	31	52	18	50
Rapamycin Group 15	15	22	14	14	29
RDEA119 Group 24	24	30	14	12	26
RO-3306 Group 16	16	25	16	3	5
Roscovitine Group 16	16	48	1	3	51
rTRAIL Group 55	55	18	41	43	3
Ruxolitinib Group 7	7	18	45	10	33
Salubrinal Group 55	55	24	25	1	4
Saracatinib Group 44	44	17	6	23	36
SB 216763 Group 38	38	39	5	16	43
SB 505124 Group 37	37	37	42	18	36
SB52334 Group 46	46	1	45	53	19
SB590885 Group 18	18	34	52	36	12
selumetinib Group 24	24	52	20	52	19
SGC0946 Group 55	55	34	15	31	53
Shikonin Group 55	55	44	6	27	31
SL 0101-1 Group 39	39	12	42	10	11
SN-38 Group 34	34	30	30	51	41
SNX-2112 Group 2	2	40	27	13	50
Sorafenib Group 44	44	40	28	42	3
STF-62247 Group 55	55	17	40	11	41
S-Trityl-L-cysteine Group 55	55	5	52	16	48
Sunitinib Group 44	44	28	18	3	53
T0901317 Group 55	55	1	32	16	9
TAE684 Group 37	37	33	8	32	29
TAK-715 Grouup 1	1	26	44	28	24
Talazoparib Group 9	9	55	3	11	53
Tamoxifen Group 55	55	9	2	1	49
Temozolomide Group 25	25	9	45	20	17
Temsirolimus Group 15	15	47	41	3	40
TG101348 Group 7 	7	13	26	30	7
TGX221 Group 15	15	24	19	42	7
Thapsigargin Group 55	55	9	35	27	14
THZ-2-102-1 Group 16	16	9	19	33	42
THZ-2-49 Group 16	16	54	28	17	1
Tipifarnib Group 47	47	49	46	1	11
Tivozanib Group 8	8	36	34	26	33
TL-1-85 Group 1	1	29	9	24	5
TL-2-105 Group 18	18	26	28	7	38
TPCA-1 Group 1	1	9	32	13	26
Trametinib Group 24	24	23	11	17	7
Tubastatin A Group 13	13	21	1	45	55
TW 37 Group 51	51	16	40	26	21
UNC0638 Group 55	55	52	40	48	24
UNC1215 Group 55	55	32	47	15	50
Veliparib Group 9	9	11	17	11	16
Vinblastine Group 12	12	15	3	5	18
Vinorelbine Group 12	12	18	32	37	9
VNLG/124 Group 13	13	49	44	25	2
Vorinostat Group 13 	13	34	24	36	47
VX-11e Group 24	24	41	14	28	51
VX-680 Group 33	33	29	1	40	32
VX-702 Group 1	1	12	52	35	13
WH-4-023 Group 6	6	12	19	26	48
WZ-1-84 Group 54	54	33	26	10	11
WZ3105 Group 7	7	1	42	17	44
XAV939 Group 55	55	40	20	23	11
XL-184 Group 8	8	52	21	4	2
XMD11-85h Group 39	39	20	2	18	45
XMD13-2 Group 55	55	19	39	49	13
XMD14-99 Group 26	26	40	4	16	22
XMD15-27 Group 26	26	55	40	53	1
XMD8-85 Group 24	24	17	27	21	27
XMD8-92 Group 24	24	47	1	53	2
Y-39983 Group 49	49	25	53	41	2
YK 4-279 Group 55	55	54	17	1	43
YM155 Group 41	41	46	31	17	53
YM201636 Group 55	55	22	26	53	24
ZG-10 Group 55	55	46	6	49	37
Zibotentan Group 55	55	36	19	31	1
Z-LLNle-CHO Group 29	29	13	48	29	23
ZM-447439 Group 33	33	54	16	9	25
ZSTK474 Group 15	15	47	36	52	26
